eps,step,src_mean,src_std,tgt_mean,tgt_std
0.01568,5,100.0,0.0,73.92666666666668,0.2801586851926733
0.01568,10,100.0,0.0,74.22,0.3334666400106629
0.01568,20,100.0,0.0,74.61333333333333,0.4401009985093079
0.03137,5,100.0,0.0,81.68666666666667,0.16759740119968922
0.03137,10,100.0,0.0,84.81333333333333,0.5865909041989074
0.03137,20,100.0,0.0,86.04666666666667,0.311697859401625
0.06274,5,100.0,0.0,86.25333333333333,0.26599916457680434
0.06274,10,100.0,0.0,90.83333333333333,0.4759084879353256
0.06274,20,100.0,0.0,93.38,0.26280537792569364
